date,year,month,time_idx,forecast,forecast_lower,forecast_upper
2025-01-01,2025,1,75,145.7008307379645,107.80464008033492,183.59702139559408
2025-02-01,2025,2,76,146.79753365224997,108.90134299462038,184.69372430987954
2025-03-01,2025,3,77,147.8018751163401,109.90568445871052,185.6980657739697
2025-04-01,2025,4,78,148.951175076524,111.05498441889442,186.84736573415358
2025-05-01,2025,5,79,150.03976794442275,112.14357728679316,187.93595860205232
2025-06-01,2025,6,80,151.00031668390352,113.10412602627393,188.8965073415331
2025-07-01,2025,7,81,152.08843652934132,114.19224587171173,189.9846271869709
2025-08-01,2025,8,82,153.28284146999397,115.38665081236438,191.17903212762354
2025-09-01,2025,9,83,154.23235047558802,116.33615981795843,192.1285411332176
2025-10-01,2025,10,84,155.32916783079145,117.43297717316186,193.22535848842102
2025-11-01,2025,11,85,156.33342537154175,118.43723471391216,194.22961602917132
2025-12-01,2025,12,86,157.50626201385455,119.61007135622496,195.40245267148413
2026-01-01,2026,1,87,158.2146287464994,120.3184380888698,196.11081940412896
2026-02-01,2026,2,88,159.31133166078484,121.41514100315526,197.20752231841442
2026-03-01,2026,3,89,160.315673124875,122.4194824672454,198.21186378250457
2026-04-01,2026,4,90,161.4649730850589,123.5687824274293,199.36116374268846
2026-05-01,2026,5,91,162.5535659529576,124.65737529532801,200.4497566105872
2026-06-01,2026,6,92,163.51411469243837,125.61792403480878,201.41030535006797
2026-07-01,2026,7,93,164.60223453787617,126.70604388024658,202.49842519550577
2026-08-01,2026,8,94,165.79663947852882,127.90044882089923,203.69283013615842
2026-09-01,2026,9,95,166.74614848412287,128.84995782649327,204.64233914175247
2026-10-01,2026,10,96,167.8429658393263,129.9467751816967,205.7391564969559
2026-11-01,2026,11,97,168.84722338007657,130.951032722447,206.74341403770615
2026-12-01,2026,12,98,170.02006002238937,132.1238693647598,207.91625068001895
2027-01-01,2027,1,99,170.7284267550342,132.83223609740463,208.62461741266378
2027-02-01,2027,2,100,171.82512966931967,133.9289390116901,209.72132032694924
2027-03-01,2027,3,101,172.8294711334098,134.93328047578024,210.72566179103939
2027-04-01,2027,4,102,173.9787710935937,136.08258043596413,211.87496175122328
2027-05-01,2027,5,103,175.06736396149245,137.17117330386287,212.96355461912202
2027-06-01,2027,6,104,176.02791270097322,138.13172204334364,213.9241033586028
2027-07-01,2027,7,105,177.11603254641102,139.21984188878145,215.0122232040406
2027-08-01,2027,8,106,178.31043748706367,140.4142468294341,216.20662814469324
2027-09-01,2027,9,107,179.25994649265772,141.36375583502814,217.1561371502873
2027-10-01,2027,10,108,180.35676384786115,142.46057319023157,218.25295450549072
2027-11-01,2027,11,109,181.36102138861145,143.46483073098187,219.25721204624102
2027-12-01,2027,12,110,182.53385803092425,144.63766737329468,220.43004868855382
2028-01-01,2028,1,111,183.24222476356908,145.3460341059395,221.13841542119866
2028-02-01,2028,2,112,184.33892767785454,146.44273702022497,222.23511833548412
2028-03-01,2028,3,113,185.3432691419447,147.4470784843151,223.23945979957426
2028-04-01,2028,4,114,186.49256910212856,148.59637844449895,224.38875975975816
2028-05-01,2028,5,115,187.5811619700273,149.6849713123977,225.4773526276569
2028-06-01,2028,6,116,188.54171070950807,150.64552005187846,226.43790136713767
2028-07-01,2028,7,117,189.62983055494587,151.73363989731627,227.52602121257547
2028-08-01,2028,8,118,190.82423549559851,152.9280448379689,228.72042615322812
2028-09-01,2028,9,119,191.77374450119257,153.87755384356296,229.66993515882217
2028-10-01,2028,10,120,192.87056185639597,154.9743711987664,230.76675251402554
2028-11-01,2028,11,121,193.87481939714627,155.9786287395167,231.77101005477584
2028-12-01,2028,12,122,195.04765603945907,157.1514653818295,232.94384669708865
2029-01-01,2029,1,123,195.7560227721039,157.85983211447433,233.65221342973348
2029-02-01,2029,2,124,196.85272568638936,158.9565350287598,234.74891634401894
2029-03-01,2029,3,125,197.8570671504795,159.96087649284993,235.75325780810908
2029-04-01,2029,4,126,199.0063671106634,161.11017645303383,236.90255776829298
2029-05-01,2029,5,127,200.09495997856214,162.19876932093257,237.99115063619172
2029-06-01,2029,6,128,201.05550871804292,163.15931806041334,238.9516993756725
2029-07-01,2029,7,129,202.14362856348072,164.24743790585114,240.0398192211103
2029-08-01,2029,8,130,203.33803350413336,165.4418428465038,241.23422416176294
2029-09-01,2029,9,131,204.28754250972742,166.39135185209784,242.183733167357
2029-10-01,2029,10,132,205.38435986493084,167.48816920730127,243.28055052256042
2029-11-01,2029,11,133,206.38861740568115,168.49242674805157,244.28480806331072
2029-12-01,2029,12,134,207.56145404799392,169.66526339036432,245.45764470562352
